word,score,globalContribution,positionalContribution
coaly,4.211876850001353,2.465870429885168,1.7460064201161851
torse,4.20958709661139,2.59124544407839,1.6183416525330006
alose,4.2074144262884925,2.587082872538389,1.6203315537501037
slade,4.204696953450137,2.491745041092595,1.7129519123575414
shite,4.204666667245236,2.4838723115073087,1.7207943557379273
suint,4.20375898608951,2.494612039789835,1.7091469462996751
carte,4.20227990299016,2.5525564777981042,1.6497234251920556
alone,4.2021930927650395,2.5710715101644173,1.6311215826006218
cline,4.201086842779943,2.495915223804308,1.7051716189756347
corse,4.19955782699857,2.532530849972121,1.6670269770264485
sonly,4.199471177153283,2.4790385028755946,1.7204326742776888
teary,4.198911159020689,2.539462103773399,1.6594490552472896
sient,4.19790738114502,2.5490811165196074,1.6488262646254128
paire,4.1974133555572894,2.5006308820471146,1.6967824735101744
sonar,4.197270155196211,2.5796301997987454,1.6176399553974654
souly,4.196869692093755,2.4484947490515543,1.7483749430422006
sared,4.195365543148837,2.5082176912586833,1.6871478518901537
salty,4.195107268500824,2.5150754930755497,1.6800317754252745
paise,4.195085885245475,2.478609530490056,1.716476354755419
close,4.1939022931530605,2.5160581998060323,1.6778440933470282
shote,4.1922607840949,2.488003925135061,1.7042568589598388
brane,4.191335664691891,2.4287917670623598,1.762543897629532
soral,4.19111057442252,2.6011902635636877,1.5899203108588331
prate,4.188970727904788,2.5038655048168708,1.685105223087917
clone,4.188680959629607,2.5000468374320604,1.6886341221975463
roast,4.1877915431841695,2.604254102230609,1.5835374409535603
solar,4.18657775802298,2.601190263563687,1.5853874944592932
siren,4.186460080413767,2.5624899280187745,1.6239701523949923
sacre,4.185644922291365,2.543943937740213,1.6417009845511519
roany,4.181380910834155,2.516433771725662,1.6649471391084927
stary,4.179734012911184,2.531548143241639,1.6481858696695453
shart,4.177016620475744,2.5135244039284514,1.6634922165472927
liane,4.1767789662887225,2.566939896536665,1.609839069752057
strae,4.174280926218184,2.602658531846482,1.571622394371702
baile,4.173666396966469,2.4337083965583775,1.739958000408092
shalt,4.171082737634749,2.4970517537623627,1.6740309838723864
prise,4.170967633511562,2.4797082633631353,1.6912593701484266
slain,4.170024504227047,2.559025936004905,1.6109985682221422
shaly,4.169893438808189,2.4252427856313883,1.7446506531768005
snary,4.169699503255193,2.5069242408097754,1.6627752624454175
toney,4.169353670426685,2.4900163020742756,1.6793373683524095
poire,4.169291933505317,2.489217794279022,1.6800741392262943
caner,4.1688385692288055,2.5279325753662416,1.6409059938625636
clote,4.168502947092678,2.5246707398639234,1.6438322072287552
since,4.168236482348007,2.4903665224133382,1.677869959934669
taler,4.168175441668395,2.6082072332374517,1.5599682084309434
sored,4.167244121096864,2.496804603490591,1.6704395176062732
salue,4.166964864980157,2.5310182254244906,1.6359466395556659
poise,4.166964463193503,2.467196442721964,1.6997680204715389
rainy,4.166099892432519,2.51230215809791,1.6537977343346093
daine,4.165940828538021,2.4755628946157877,1.690377933922234
shiel,4.16506575271019,2.4808084728403874,1.684257279869803
crost,4.164867408071209,2.5332294294982516,1.6316379785729573
seral,4.16218173098804,2.599594693179561,1.5625870378084792
cruet,4.161915384898956,2.485078742916113,1.6768366419828429
slide,4.161294512996528,2.4762003396967502,1.6850941732997775
cause,4.1611559634749105,2.4753674699851427,1.6857884934897678
rione,4.160527415189375,2.5719994589346613,1.588527956254714
cater,4.159942966933054,2.5525564777981042,1.6073864891349494
coney,4.159324400813865,2.4313017079680073,1.7280226928458573
reast,4.1588626997496885,2.6026585318464823,1.5562041679032061
scare,4.158838548287917,2.543943937740213,1.6148946105477036
saucy,4.158801591381287,2.4042570813802993,1.7545445100009875
prose,4.158561750361226,2.4838398769908876,1.6747218733703382
crony,4.158456775721194,2.445409098993305,1.7130476767278895
ariot,4.1582637214250955,2.609632019518743,1.548631701906353
prole,4.154955337832044,2.4893885783818575,1.6655667594501873
prone,4.153340416837771,2.4678285146169157,1.6855119022208562
orate,4.153319944376168,2.612168062762369,1.5411518816137986
clart,4.153258783473523,2.5501912186573135,1.6030675648162092
brise,4.153154557761737,2.429258428040487,1.72389612972125
scale,4.152904665446922,2.5274712875741248,1.6254333778727972
sarge,4.1526323467004564,2.4674357386763677,1.6851966080240888
clary,4.152069484646963,2.478382250526339,1.6736872341206233
socle,4.151589617398397,2.5160581998060323,1.635531417592365
clast,4.150931313161709,2.5281698671002553,1.6227614460614534
stair,4.150854125307745,2.6001224886028567,1.5507316367048891
toner,4.150746416789653,2.5752340817044175,1.5755123350852356
spaer,4.1499702849744455,2.49525296475898,1.654717320215465
surat,4.14928854126353,2.54818945511671,1.6010990861468202
